handcrafted_solvetime,tot_solvetime,handcrafted_objective,tot_objective,grouplabels
0.026,0.096,3,5,6
0.025,0.062,1,1,7
0.025,0.059,1,1,7
0.025,0.059,1,1,7
0.025,149.648,1,20,7
0.025,0.058,1,1,7
0.025,0.064,1,1,7
0.025,0.052,1,1,7
0.025,0.061,1,1,7
0.025,0.05,1,1,7
0.025,149.663,1,20,7
0.025,149.572,1,20,7
0.025,149.651,1,20,7
0.025,0.057,1,1,7
0.025,0.06,1,1,7
0.025,0.106,1,1,7
0.025,0.127,1,1,7
0.032,0.056,1,1,8
0.032,149.606,1,20,8
0.032,0.051,1,1,8
0.032,0.05,1,1,8
0.032,149.577,1,20,8
0.032,149.645,1,20,8
0.032,149.63,1,20,8
0.032,0.062,1,1,8
0.032,0.056,1,1,8
0.032,149.653,1,20,8
0.032,0.047,1,1,8
0.032,149.612,1,20,8
0.032,0.064,1,1,8
0.032,0.06,1,1,8
0.032,0.056,1,1,8
0.032,149.655,1,20,8
1.162,2.136,5,6,9
1.162,2.262,5,6,9
1.162,2.203,5,6,9
1.162,74.796,5,6,9
1.162,71.19,5,6,9
1.162,1.935,5,6,9
1.162,2.497,5,6,9
1.162,2.376,5,6,9
1.162,1.95,5,6,9
1.162,2.011,5,6,9
1.162,70.097,5,6,9
1.162,1.898,5,6,9
1.162,1.275,5,6,9
1.162,1.222,5,6,9
1.162,2.074,5,6,9
1.162,2.39,5,6,9
11.495,9.418,5,7,10
11.495,19.314,5,7,10
11.495,9.002,5,7,10
11.495,16.795,5,7,10
11.495,9.493,5,7,10
11.495,17.335,5,7,10
11.495,16.852,5,7,10
11.495,92.31,5,7,10
11.495,17.896,5,7,10
11.495,29.757,5,7,10
11.495,15.16,5,7,10
11.495,15.081,5,7,10
11.495,6.545,5,7,10
11.495,6.429,5,7,10
11.495,5.903,5,7,10
11.495,5.956,5,7,10
0.047,0.083,3,4,11
0.047,0.086,3,4,11
0.047,5.984,3,4,11
0.047,0.076,3,4,11
0.047,0.207,3,4,11
0.047,0.096,3,4,11
0.047,0.101,3,4,11
0.047,0.092,3,4,11
0.047,0.098,3,4,11
0.047,7.786,3,13,11
0.272,90.806,7,7,12
0.272,0.346,7,7,12
0.272,0.378,7,7,12
0.272,0.34,7,7,12
0.272,0.768,7,7,12
0.272,0.329,7,7,12
0.272,0.414,7,7,12
0.272,0.319,7,7,12
0.272,0.312,7,7,12
0.272,19.71,7,7,12
0.272,14.632,7,7,12
0.272,0.334,7,7,12
0.272,1.354,7,7,12
0.272,1.328,7,7,12
0.272,1.001,7,7,12
0.077,0.123,5,5,13
0.077,0.134,5,5,13
0.077,0.114,5,5,13
0.077,0.085,5,5,13
0.077,0.111,5,5,13
0.077,0.102,5,5,13
0.077,0.057,5,5,13
0.077,0.085,5,5,13
0.077,0.276,5,5,13
0.077,0.13,5,5,13
0.077,0.351,5,5,13
0.077,0.491,5,5,13
0.077,0.088,5,5,13
0.077,0.115,5,5,13
0.077,0.082,5,5,13
0.077,0.087,5,5,13
8.645,4.554,13,13,14
8.645,16.264,13,13,14
8.645,13.586,13,13,14
8.645,4.857,13,13,14
8.645,4.794,13,13,14
8.645,4.846,13,13,14
8.645,4.39,13,13,14
8.645,6.647,13,13,14
8.645,11.176,13,13,14
8.645,10.27,13,13,14
8.645,7.506,13,13,14
8.645,11.663,13,13,14
8.645,9.845,13,13,14
8.645,9.612,13,13,14
8.645,9.627,13,13,14
149.883,149.752,2,16,15
149.883,149.62,2,16,15
149.883,149.758,2,16,15
149.883,149.737,2,16,15
149.883,149.709,2,16,15
149.883,149.721,2,16,15
149.883,149.756,2,16,15
149.883,149.753,2,16,15
149.883,149.735,2,16,15
149.883,149.755,2,16,15
149.883,149.755,2,16,15
149.883,149.768,2,16,15
149.883,149.746,2,16,15
149.883,149.725,2,16,15
0.087,0.073,5,9,16
0.087,0.204,5,9,16
0.087,0.178,5,9,16
0.087,0.097,5,9,16
0.087,0.13,5,9,16
0.087,0.171,5,9,16
0.087,0.115,5,9,16
0.087,0.22,5,9,16
0.087,0.255,5,9,16
0.087,0.101,5,9,16
0.087,0.086,5,9,16
0.019,0.036,2,3,17
0.019,0.073,2,3,17
0.019,0.047,2,3,17
0.019,0.046,2,3,17
0.019,0.043,2,3,17
