handcrafted,tot,grouplabels
0.111,0.16799999999999998,4
0.111,0.159,4
0.111,0.156,4
0.124,0.154,5
0.124,0.14800000000000002,5
0.124,0.14600000000000002,5
0.124,0.16399999999999998,5
0.124,0.164,5
0.124,149.846,5
0.124,149.75,5
0.124,0.4590000000000001,5
0.124,0.487,5
0.136,0.14,6
0.136,0.335,6
0.136,0.129,6
0.136,0.15,6
0.136,0.258,6
0.136,30.08,6
0.136,0.135,6
0.136,37.221999999999994,6
0.136,0.128,6
0.136,0.243,6
0.136,0.14200000000000002,6
0.136,0.9990000000000001,6
0.136,3.013,6
0.136,0.14100000000000001,6
0.136,0.13,6
0.14200000000000002,0.29300000000000004,7
0.14200000000000002,0.221,7
0.14200000000000002,0.187,7
0.14200000000000002,0.23500000000000001,7
0.163,0.16799999999999998,8
0.163,0.195,8
0.163,0.22299999999999998,8
0.163,0.184,8
0.163,149.80700000000002,8
0.163,149.805,8
0.163,0.175,8
0.163,0.241,8
0.163,0.20500000000000002,8
0.163,0.17099999999999999,8
0.163,0.195,8
0.163,0.195,8
0.163,0.199,8
0.163,0.231,8
0.163,0.161,8
0.163,0.16,8
1.98,2.069,9
1.98,136.661,9
1.98,2.055,9
1.98,2.818,9
1.98,1.383,9
1.98,1.37,9
1.98,2.106,9
1.98,2.08,9
1.98,2.9770000000000003,9
1.98,1.43,9
1.98,1.1949999999999998,9
1.98,1.444,9
1.98,137.36700000000002,9
1.98,135.95,9
16.258999999999997,12.722999999999999,10
16.258999999999997,6.076,10
16.258999999999997,6.161,10
16.258999999999997,12.7,10
16.258999999999997,15.415999999999999,10
16.258999999999997,15.295,10
16.258999999999997,21.059,10
16.258999999999997,15.277,10
16.258999999999997,15.267000000000001,10
16.258999999999997,15.419,10
16.258999999999997,15.234,10
16.258999999999997,15.293999999999999,10
16.258999999999997,27.083999999999996,10
16.258999999999997,104.983,10
0.192,0.794,11
0.192,0.246,11
0.192,149.876,11
0.192,0.858,11
0.192,0.22100000000000003,11
0.192,83.775,11
0.192,0.236,11
0.192,0.24300000000000002,11
0.192,0.20500000000000002,11
0.192,0.174,11
0.192,3.634,11
0.192,0.194,11
0.192,0.164,11
0.192,0.248,11
0.192,0.94,11
0.192,0.176,11
0.446,0.494,12
0.446,0.455,12
0.446,0.6500000000000001,12
0.446,149.835,12
0.446,0.436,12
0.446,149.836,12
0.446,0.431,12
0.446,0.7500000000000001,12
0.163,0.23199999999999998,13
0.163,0.249,13
0.163,0.22100000000000003,13
0.163,0.25,13
0.163,0.22,13
0.163,79.107,13
0.163,1.7329999999999999,13
0.163,0.22200000000000003,13
0.163,0.6970000000000001,13
0.163,0.269,13
0.163,0.37,13
0.163,0.29100000000000004,13
0.163,0.28500000000000003,13
0.163,0.266,13
12.372,4.491,14
12.372,4.468,14
12.372,11.356,14
12.372,11.209000000000001,14
12.372,4.5889999999999995,14
12.372,4.594,14
12.372,11.418999999999999,14
12.372,4.5760000000000005,14
12.372,9.35,14
12.372,9.36,14
149.821,149.846,15
149.821,149.80300000000003,15
149.821,149.845,15
149.821,149.862,15
149.821,149.828,15
149.821,149.86399999999998,15
149.821,149.842,15
149.821,149.85599999999997,15
149.821,149.866,15
149.821,149.832,15
149.821,149.87099999999998,15
0.21300000000000002,0.615,16
0.21300000000000002,0.25,16
0.21300000000000002,0.538,16
0.21300000000000002,0.212,16
0.21300000000000002,0.26,16
0.21300000000000002,0.19999999999999998,16
0.21300000000000002,0.193,16
0.21300000000000002,0.393,16
0.21300000000000002,0.7370000000000001,16
0.21300000000000002,0.20700000000000002,16
0.21300000000000002,0.215,16
0.21300000000000002,0.592,16
0.21300000000000002,0.247,16
0.21300000000000002,0.213,16
0.21300000000000002,0.177,16
0.13,0.135,17
0.13,0.178,17
0.13,0.16,17
0.13,0.19499999999999998,17
0.13,149.841,17
0.13,0.151,17
0.13,0.155,17
0.13,0.102,17
0.13,0.105,17
0.13,0.47300000000000003,17
0.13,0.14100000000000001,17
0.13,149.838,17
0.13,0.17,17
0.13,0.133,17
0.13,0.15999999999999998,17
0.194,0.132,18
0.194,0.708,18
0.194,0.559,18
0.194,0.591,18
0.194,45.803,18
0.194,0.187,18
0.194,0.268,18
0.194,0.152,18
0.313,0.992,19
0.313,0.306,19
0.313,51.876000000000005,19
0.313,0.308,19
0.313,1.232,19
0.313,1.244,19
0.313,1.309,19
0.313,1.2650000000000001,19
0.313,1.271,19
0.313,0.891,19
0.313,1.204,19
0.313,0.302,19
0.313,0.239,19
0.313,1.258,19
0.313,0.897,19
0.313,149.9,19
0.238,0.194,0
0.238,0.193,0
0.238,0.542,0
0.238,0.7889999999999999,0
0.238,0.193,0
0.238,3.8289999999999997,0
0.238,2.322,0
0.238,0.20600000000000002,0
0.238,0.252,0
0.238,0.22699999999999998,0
0.238,149.807,0
0.238,0.22899999999999998,0
0.105,0.124,1
0.105,0.233,1
0.105,0.132,1
0.105,0.152,1
0.105,3.7800000000000002,1
0.105,149.778,1
